0,ProblemDescription,ProblemCategory,ProblemKeyword,Solution,SolutionDoc,AdditionalInfo,Code,COS_SIM,CreateDate,UpdateDate
출근 할 때 잠실역에서 셔틀버스 어디서 타는지 알고 싶어요.,오전 반차 쓴 후 서비스 시작 등 이유로 인해 서비스 일정에 지각이 잡힌 경우,모바일서비스(SRS),모바일서비스(SRS),※인사관리팀에 문의,cesco7_16.pdf,,cesco7,0.7954802865362566,2024-08-30,2024-08-30
본사 직원 출근 시간이 궁금합니다.,오전 반차 쓴 후 서비스 시작 등 이유로 인해 서비스 일정에 지각이 잡힌 경우,모바일서비스(SRS),모바일서비스(SRS),※인사관리팀에 문의,cesco7_16.pdf,,cesco7,0.8182238584227524,2024-08-30,2024-08-30
IT 서비스 데스크 직통 번호를 알려주세요.,"지사에서 데스크탑이나, 노트북 속도가 느려져서 업무 처리에 지장이 생길 경우 수리 요청하는 방법",PC관리,디바이스,1.그룹웨어 → 결재 → 물품관리 → 장비수리 신청서 기안2.결재문서 기안 후 본사 총무팀 박현 매니저님께 수리할 장비 보내기,cesco4_11.pdf,,cesco4,0.8311681793880822,2024-08-30,2024-08-30
회사에서 지급한 노트북이 고장났어요.,"지사에서 데스크탑이나, 노트북 속도가 느려져서 업무 처리에 지장이 생길 경우 수리 요청하는 방법",PC관리,디바이스,1.그룹웨어 → 결재 → 물품관리 → 장비수리 신청서 기안2.결재문서 기안 후 본사 총무팀 박현 매니저님께 수리할 장비 보내기,cesco4_11.pdf,,cesco4,0.8473635042959893,2024-08-30,2024-08-30
윈도우 설치 방법이 궁금합니다.,윈도우 10 다운그레이드 방법,PC관리,PC관리,1. 하단 '시작' 클릭 → 설정2. 시스템 → '복구' 클릭3. '돌아가기' 클릭4. 되돌리려는 이유 체크 → '다음' 클릭5. 업데이트 '아니요' 클릭6. 알아야 할 사항 '다음' 클릭7. '다음' 클릭8. 'Windows 10으로 되돌리기' 클릭9. PC 자동 재부팅 된 후 확인,cesco4_5.pdf,,cesco4,0.8580049787762764,2024-08-30,2024-08-30
세스톡 로그인이 안됩니다.,모바일 세스톡 로그인 시 '서버에 연결할 수 없습니다' 오류,세스톡,세스톡 로그인,"1.세스톡 로그인 화면 밑의 연결 설정 클릭2.서버 URL, 프록시 서버 확인3.연결시험 및 적용4.로그인 확인",cesco11_7.pdf,,cesco11,0.8910457025711954,2024-08-30,2024-08-30
연차 신청 방법이 궁금합니다.,1회차 플랜 삭제 방법,세스넷,CESNET-M,※CC기획실 구미혜 책임매니저님께 문의,cesco9_7.pdf,,cesco9,0.8102029788252199,2024-08-30,2024-08-30
내 연차가 얼마나 남았는지 궁금해.,퇴사자가 가지고 있던 누락된 플랜들 확인할 수 있는 방법,세스넷,CESNET-M,※퇴직자 플랜누락은 세스넷 -M > 파트장전용 > 루트플랜 배정대상 고객 - 파트 화면에서 조회 가능합니다.,cesco9_15.pdf,,cesco9,0.7854867215599636,2024-08-30,2024-08-30
이번 달 월급 명세서 확인하려면 어디로 가야하나요,비용품의 승인 화면에서 품의서 조회 시 조회에러 발생 - 조회중문제가 발생하였습니다.,세스넷,회계전표관리,"※비용품의서 정상적으로 기안된지 확인, 항목에 보이지 않으면 재상신",cesco9_4.pdf,,cesco9,0.812174379825592,2024-08-30,2024-08-30
회사창립기념일이 언제인가요?,소속 지사 안에 팀 이동으로 SRS 약제 등록/신청 화면에서 지역단 내에 약제를 등록할 수 있는 창고가 없어질 경우,모바일서비스(SRS),모바일서비스(SRS),※SCM팀에게 해당 창고 권한 요청 문의,cesco7_18.pdf,,cesco7,0.7935614462829512,2024-08-30,2024-08-30
DLP 로그인이 안돼요,DLP 로그인에 실패하였습니다. 인증 실패 해결 방법,보안프로그램,내부정보유출방지(DLP),"1.PW 오입력2.그룹웨어에서 PW 확인 후 분실하였을 경우, 그룹웨어 로그인 화면에서 패스워드 초기화",cesco8_1.pdf,,cesco8,0.897091760798071,2024-08-30,2024-08-30
